"","x","y","var1.pred","var1.var","optional"
"97",600,900,16.0804424285889,1.4210854715202e-14,TRUE
"98",700,900,14.5682344436646,-3.5527136788005e-15,TRUE
"99",800,900,16.3363609313965,2.1316282072803e-14,TRUE
"100",900,900,12.2228488922119,1.37921696693502e-30,TRUE
"101",0,1000,17.1950225830078,7.105427357601e-15,TRUE
"102",100,1000,11.9444828033447,1.53246329659447e-31,TRUE
"103",200,1000,16.8221206665039,-1.4210854715202e-14,TRUE
"104",300,1000,16.3491020202637,1.4210854715202e-14,TRUE
"105",400,1000,19.4252605438232,7.105427357601e-15,TRUE
"106",500,1000,16.0084247589111,-7.105427357601e-15,TRUE
"107",600,1000,15.2903213500977,3.5527136788005e-15,TRUE
"108",700,1000,19.92405128479,7.105427357601e-15,TRUE
"109",800,1000,19.5761451721191,7.105427357601e-15,TRUE
"110",900,1000,16.2747383117676,9.57789560371542e-33,TRUE
"111",0,1100,16.2717094421387,-1.4210854715202e-14,TRUE
"112",100,1100,10.7218399047852,-1.77635683940025e-14,TRUE
"113",200,1100,17.3448181152344,7.105427357601e-15,TRUE
"114",300,1100,16.9492454528809,-1.77635683940025e-14,TRUE
"115",400,1100,18.3253688812256,7.105427357601e-15,TRUE
"116",500,1100,20.1018905639648,1.06581410364015e-14,TRUE
"117",600,1100,12.8712167739868,9.57789560371542e-33,TRUE
"118",700,1100,16.2281036376953,1.77635683940025e-14,TRUE
"119",800,1100,14.7033615112305,1.77635683940025e-14,TRUE
"120",900,1100,17.8742561340332,1.06581410364015e-14,TRUE
"121",0,1200,16.1175537109375,1.06581410364015e-14,TRUE
"122",100,1200,16.2239589691162,3.5527136788005e-15,TRUE
"123",200,1200,20.5643157958984,3.5527136788005e-15,TRUE
"124",300,1200,14.7906980514526,-3.5527136788005e-15,TRUE
"125",400,1200,15.8503065109253,7.105427357601e-15,TRUE
"126",500,1200,17.4230003356934,7.105427357601e-15,TRUE
"127",600,1200,12.4329147338867,-1.77635683940025e-14,TRUE
"128",700,1200,14.2937669754028,-1.06581410364015e-14,TRUE
"129",800,1200,12.1375961303711,1.53246329659447e-31,TRUE
"130",900,1200,6.91368627548216,7.105427357601e-15,TRUE
"131",0,1300,16.3011741638184,-7.105427357601e-15,TRUE
"132",100,1300,17.4162197113037,3.5527136788005e-15,TRUE
"133",200,1300,15.5173940658569,3.5527136788005e-15,TRUE
"134",300,1300,11.2332572937012,1.4210854715202e-14,TRUE
"135",400,1300,21.054105758667,7.105427357601e-15,TRUE
"136",500,1300,13.0446300506592,-3.5527136788005e-15,TRUE
"137",600,1300,21.2411403656006,7.105427357601e-15,TRUE
"138",700,1300,16.2531280517578,3.5527136788005e-15,TRUE
"139",800,1300,7.30718231201175,-3.5527136788005e-15,TRUE
"140",900,1300,12.998363494873,3.5527136788005e-15,TRUE
"141",0,1400,14.2478551864624,1.4210854715202e-14,TRUE
"142",100,1400,13.9129047393799,1.06581410364015e-14,TRUE
"143",200,1400,11.4885444641113,3.5527136788005e-15,TRUE
"144",300,1400,18.2288990020752,1.4210854715202e-14,TRUE
"145",400,1400,19.6748714447021,1.06581410364015e-14,TRUE
"146",500,1400,11.2635335922241,1.4210854715202e-14,TRUE
"147",600,1400,10.9390830993652,3.5527136788005e-15,TRUE
"148",700,1400,18.4054794311523,-2.1316282072803e-14,TRUE
"149",800,1400,8.92380809783938,3.5527136788005e-15,TRUE
"150",900,1400,11.8534984588623,-7.105427357601e-15,TRUE
"151",0,1500,14.4877986907959,1.53246329659447e-31,TRUE
"152",100,1500,15.2477979660034,6.12985318637787e-31,TRUE
"153",200,1500,17.7795238494873,-1.06581410364015e-14,TRUE
"154",300,1500,16.7725658416748,-1.06581410364015e-14,TRUE
"155",400,1500,13.7567987442017,-2.1316282072803e-14,TRUE
"156",500,1500,12.3722867965698,-3.5527136788005e-15,TRUE
"157",600,1500,19.1964874267578,2.45194127455115e-30,TRUE
"158",700,1500,18.1545715332031,1.4210854715202e-14,TRUE
"159",800,1500,18.7002544403076,-1.06581410364015e-14,TRUE
"160",900,1500,11.5366353988647,-1.77635683940025e-14,TRUE
"161",0,1600,12.3483810424805,3.5527136788005e-15,TRUE
"162",100,1600,14.3803081512451,-1.06581410364015e-14,TRUE
"163",200,1600,10.3573179244995,-3.5527136788005e-15,TRUE
"164",300,1600,10.0011548995972,1.06581410364015e-14,TRUE
"165",400,1600,17.4627418518066,7.105427357601e-15,TRUE
"166",500,1600,14.930118560791,1.4210854715202e-14,TRUE
"167",600,1600,14.51416015625,7.105427357601e-15,TRUE
"168",700,1600,23.9130859375,-7.105427357601e-15,TRUE
"169",800,1600,17.0201988220215,1.77635683940025e-14,TRUE
"170",900,1600,17.3426303863525,-3.5527136788005e-15,TRUE
"171",0,1700,14.725980758667,-7.105427357601e-15,TRUE
"172",100,1700,9.97589397430421,0,TRUE
"173",200,1700,12.5190763473511,3.5527136788005e-15,TRUE
"174",300,1700,13.7256011962891,3.5527136788005e-15,TRUE
"175",400,1700,9.93739986419675,7.105427357601e-15,TRUE
"176",500,1700,11.7114849090576,-7.105427357601e-15,TRUE
"177",600,1700,13.8686561584473,7.105427357601e-15,TRUE
"178",700,1700,11.66930103302,-1.4210854715202e-14,TRUE
"179",800,1700,14.0340299606323,7.105427357601e-15,TRUE
"180",900,1700,9.61024570465088,-3.5527136788005e-15,TRUE
"181",0,1800,17.5438785552979,7.105427357601e-15,TRUE
"182",100,1800,10.9603271484375,3.5527136788005e-15,TRUE
"183",200,1800,16.9590740203857,7.105427357601e-15,TRUE
"184",300,1800,10.5620765686035,-3.5527136788005e-15,TRUE
"185",400,1800,13.6349992752075,3.5527136788005e-15,TRUE
